University,Faculty,Department,"Title, Name and Surname"
Dokuz Eylul Universitesi,Buca Egitim Fakultesi,Turkce Ve Sosyal Bilimler Egitimi Bolumu,Profesor Basak Ocak
Dokuz Eylul Universitesi,Muhendislik Fakultesi,Maden Muhendisligi Bolumu,Profesor Bayram Kahraman
Dokuz Eylul Universitesi,Fizik Tedavi Ve Rehabilitasyon Fakultesi,Fizyoterapi Ve Rehabilitasyon Bolumu,Profesor Bayram Unver
Dokuz Eylul Universitesi,Tip Fakultesi,Temel Tip Bilimleri Bolumu,Profesor Bayram Yilmaz
Dokuz Eylul Universitesi,Tip Fakultesi,Temel Tip Bilimleri Bolumu,Profesor Berkant Muammer Kayatekin
Dokuz Eylul Universitesi,Buca Egitim Fakultesi,Matematik Ve Fen Bilimleri Egitimi Bolumu,Profesor Berna Canturk Gunhan
Dokuz Eylul Universitesi,Isletme Fakultesi,Uluslararasi Ticaret Ve Isletmecilik Bolumu,Profesor Berna Kirkulak Uludag
Dokuz Eylul Universitesi,Izmir Devlet Konservatuvari,Muzikoloji Bolumu,Profesor Berna Ozkut
Dokuz Eylul Universitesi,Tip Fakultesi,Dahili Tip Bilimleri Bolumu,Profesor Berna Binnur Akdede
Dokuz Eylul Universitesi,Tip Fakultesi,Dahili Tip Bilimleri Bolumu,Profesor Berril Donmez Colakoglu
Dokuz Eylul Universitesi,Izmir Meslek Yuksekokulu,Pazarlama Ve Reklamcilik Bolumu,Profesor Berrin Onaran
Dokuz Eylul Universitesi,Muhendislik Fakultesi,Jeoloji Muhendisligi Bolumu,Profesor Bilal Sari
Dokuz Eylul Universitesi,Isletme Fakultesi,Isletme Bolumu,Profesor Bilge Aykol
Dokuz Eylul Universitesi,Muhendislik Fakultesi,Endustri Muhendisligi Bolumu,Profesor Bilge Bilgen
Dokuz Eylul Universitesi,Fizik Tedavi Ve Rehabilitasyon Fakultesi,Fizyoterapi Ve Rehabilitasyon Bolumu,Profesor Bilge Kara
Dokuz Eylul Universitesi,Muhendislik Fakultesi,Makine Muhendisligi Bolumu,Profesor Binnur Goren Kiral
Dokuz Eylul Universitesi,Edebiyat Fakultesi,Arkeoloji Bolumu,Profesor Binnur Gurler
Dokuz Eylul Universitesi,Fizik Tedavi Ve Rehabilitasyon Fakultesi,Fizyoterapi Ve Rehabilitasyon Bolumu,Profesor Birgul Balci
Dokuz Eylul Universitesi,Fen Fakultesi,Fizik Bolumu,Profesor Birol Engin
Dokuz Eylul Universitesi,Muhendislik Fakultesi,Insaat Muhendisligi Bolumu,Profesor Birol Kaya
Dokuz Eylul Universitesi,Muhendislik Fakultesi,Jeoloji Muhendisligi Bolumu,Profesor Bora Uzel
Dokuz Eylul Universitesi,Muhendislik Fakultesi,Insaat Muhendisligi Bolumu,Profesor Burak Felekoglu
Dokuz Eylul Universitesi,Tip Fakultesi,Cerrahi Tip Bilimleri Bolumu,Profesor Burak Sade
Dokuz Eylul Universitesi,Muhendislik Fakultesi,Insaat Muhendisligi Bolumu,Profesor Burak Sengoz
Dokuz Eylul Universitesi,Hemsirelik Fakultesi,Hemsirelik Bolumu,Profesor Burcu Akpinar Soylemez
Dokuz Eylul Universitesi,Fen Fakultesi,Istatistik Bolumu,Profesor Burcu Hudaverdi Aktas
Dokuz Eylul Universitesi,Isletme Fakultesi,Isletme Bolumu,Profesor Burcu Ilter
Dokuz Eylul Universitesi,Fen Fakultesi,Matematik Bolumu,Profesor Burcu Silindir Yantir
Dokuz Eylul Universitesi,Edebiyat Fakultesi,Dilbilimi Bolumu,Profesor Burcu Ilkay Karaman
Dokuz Eylul Universitesi,Isletme Fakultesi,Turizm Isletmeciligi Bolumu,Profesor Burcu Selin Yilmaz
Dokuz Eylul Universitesi,Isletme Fakultesi,Iktisat Bolumu,Profesor Burcak Muge Vural
Dokuz Eylul Universitesi,Buca Egitim Fakultesi,Matematik Ve Fen Bilimleri Egitimi Bolumu,Profesor Bulent Cavas
Dokuz Eylul Universitesi,Tip Fakultesi,Dahili Tip Bilimleri Bolumu,Profesor Bulent Kilic
Dokuz Eylul Universitesi,Tip Fakultesi,Dahili Tip Bilimleri Bolumu,Profesor Bulent Undar
Dokuz Eylul Universitesi,Tip Fakultesi,Cerrahi Tip Bilimleri Bolumu,Profesor Bulent Serhan Yurtlu
Dokuz Eylul Universitesi,Edebiyat Fakultesi,Turk Dili Ve Edebiyati Bolumu,Profesor Cafer Sen
Dokuz Eylul Universitesi,Tip Fakultesi,Dahili Tip Bilimleri Bolumu,Profesor Can Sevinc
Dokuz Eylul Universitesi,Muhendislik Fakultesi,Makine Muhendisligi Bolumu,Profesor Can Ozgur Colpan
Dokuz Eylul Universitesi,Tip Fakultesi,Dahili Tip Bilimleri Bolumu,Profesor Canan Altay
Dokuz Eylul Universitesi,Tip Fakultesi,Cerrahi Tip Bilimleri Bolumu,Profesor Canan Asli Yildirim
Dokuz Eylul Universitesi,Tip Fakultesi,Temel Tip Bilimleri Bolumu,Profesor Candan Arman
Dokuz Eylul Universitesi,Dis Hekimligi Fakultesi,Klinik Bilimler Bolumu,Profesor Candan Efeoglu
Dokuz Eylul Universitesi,Tip Fakultesi,Dahili Tip Bilimleri Bolumu,Profesor Caner Cavdar
Dokuz Eylul Universitesi,Buca Egitim Fakultesi,Turkce Ve Sosyal Bilimler Egitimi Bolumu,Profesor Caner Kerimoglu
Dokuz Eylul Universitesi,Torbali Meslek Yuksekokulu,Insaat Bolumu,Profesor Celalettin Simsek
Dokuz Eylul Universitesi,Muhendislik Fakultesi,Jeoloji Muhendisligi Bolumu,Profesor Cem Kincal
Dokuz Eylul Universitesi,Tip Fakultesi,Cerrahi Tip Bilimleri Bolumu,Profesor Cemal Posaci
Dokuz Eylul Universitesi,Muhendislik Fakultesi,Maden Muhendisligi Bolumu,Profesor Cemalettin Okay Aksoy
Dokuz Eylul Universitesi,Buca Egitim Fakultesi,Matematik Ve Fen Bilimleri Egitimi Bolumu,Profesor Cenk Kesan
Dokuz Eylul Universitesi,Guzel Sanatlar Fakultesi,Muzikoloji Bolumu,Profesor Cihan Isikhan
Dokuz Eylul Universitesi,Iktisadi Ve Idari Bilimler Fakultesi,Calisma Ekonomisi Ve Endustri Iliskileri Bolumu,Profesor Coskun Sarac
Dokuz Eylul Universitesi,Iktisadi Ve Idari Bilimler Fakultesi,Maliye Bolumu,Profesor Coskuncan Aktan
Dokuz Eylul Universitesi,Muhendislik Fakultesi,Jeoloji Muhendisligi Bolumu,Profesor Cuneyt Akal
Dokuz Eylul Universitesi,Muhendislik Fakultesi,Maden Muhendisligi Bolumu,Profesor Cagatay Pamukcu
Dokuz Eylul Universitesi,Fen Fakultesi,Bilgisayar Bilimleri Bolumu,Profesor Cagin Kandemir Cavas
Dokuz Eylul Universitesi,Isletme Fakultesi,Isletme Bolumu,Profesor Cagnur Balsari
Dokuz Eylul Universitesi,Fen Fakultesi,Biyoloji Bolumu,Profesor Cetin Ilgaz
Dokuz Eylul Universitesi,Tip Fakultesi,Temel Tip Bilimleri Bolumu,Profesor Cetin Pekcetin
Dokuz Eylul Universitesi,Muhendislik Fakultesi,Makine Muhendisligi Bolumu,Profesor Cinar Emine Yeni
Dokuz Eylul Universitesi,Buca Egitim Fakultesi,Guzel Sanatlar Egitimi Bolumu,Profesor Cinla Seker
Dokuz Eylul Universitesi,Muhendislik Fakultesi,Makine Muhendisligi Bolumu,Profesor Cicek Ozes
Dokuz Eylul Universitesi,Tip Fakultesi,Dahili Tip Bilimleri Bolumu,Profesor Cigdem Bircan
Dokuz Eylul Universitesi,Tip Fakultesi,Temel Tip Bilimleri Bolumu,Profesor Cigdem Icke
Dokuz Eylul Universitesi,Iktisadi Ve Idari Bilimler Fakultesi,Yonetim Bilisim Sistemleri Bolumu,Profesor Cigdem Tarhan
Dokuz Eylul Universitesi,Tip Fakultesi,Cerrahi Tip Bilimleri Bolumu,Profesor Cimen Gulben Olguner
Dokuz Eylul Universitesi,Muhendislik Fakultesi,Cevre Muhendisligi Bolumu,Profesor Delia Teresa Sponza
Dokuz Eylul Universitesi,Muhendislik Fakultesi,Cevre Muhendisligi Bolumu,Profesor Deniz Dolgen
Dokuz Eylul Universitesi,Mimarlik Fakultesi,Mimarlik Bolumu,Profesor Deniz Guner
Dokuz Eylul Universitesi,Deniz Bilimleri Ve Teknolojisi Enstitusu,Deniz Bilimleri Anabilim Dali,Profesor Derman Dondurur
Dokuz Eylul Universitesi,Muhendislik Fakultesi,Bilgisayar Muhendisligi Bolumu,Profesor Derya Birant
Dokuz Eylul Universitesi,Muhendislik Fakultesi,Endustri Muhendisligi Bolumu,Profesor Derya Eren Akyol
Dokuz Eylul Universitesi,Tip Fakultesi,Dahili Tip Bilimleri Bolumu,Profesor Derya Kaya
Dokuz Eylul Universitesi,Fen Fakultesi,Kimya Bolumu,Profesor Derya Topkaya Taskiran
Dokuz Eylul Universitesi,Fizik Tedavi Ve Rehabilitasyon Fakultesi,Fizyoterapi Ve Rehabilitasyon Bolumu,Profesor Didem Karadibak
Dokuz Eylul Universitesi,Buca Egitim Fakultesi,Egitim Bilimleri Bolumu,Profesor Digdem Muge Siyez
Dokuz Eylul Universitesi,Muhendislik Fakultesi,Makine Muhendisligi Bolumu,Profesor Dilek Kumlutas
Dokuz Eylul Universitesi,Hemsirelik Fakultesi,Hemsirelik Bolumu,Profesor Dilek Ozden
Dokuz Eylul Universitesi,Edebiyat Fakultesi,Tarih Bolumu,Profesor Dilsen Ince Erdogan
Dokuz Eylul Universitesi,Buca Egitim Fakultesi,Turkce Ve Sosyal Bilimler Egitimi Bolumu,Profesor Dogan Duman
Dokuz Eylul Universitesi,Edebiyat Fakultesi,Felsefe Bolumu,Profesor Dogan Gocmen
Dokuz Eylul Universitesi,Muhendislik Fakultesi,Maden Muhendisligi Bolumu,Profesor Dogan Karakus
Dokuz Eylul Universitesi,Denizcilik Fakultesi,Denizcilik Isletmeleri Yonetimi Bolumu,Profesor Durmus Ali Deveci
Dokuz Eylul Universitesi,Edebiyat Fakultesi,Psikoloji Bolumu,Profesor Duygu Gungor Culha
Dokuz Eylul Universitesi,Veteriner Fakultesi,Klinik Bilimler Bolumu,Profesor Duygu Kaya
Dokuz Eylul Universitesi,Buca Egitim Fakultesi,Yabanci Diller Egitimi Bolumu,Profesor Duygu Oztin Passerat
Dokuz Eylul Universitesi,Edebiyat Fakultesi,Arkeoloji Bolumu,Profesor Duygu Sevil Akar Tanriver
Dokuz Eylul Universitesi,Tip Fakultesi,Cerrahi Tip Bilimleri Bolumu,Profesor Dundar Ozalp Karabay
Dokuz Eylul Universitesi,Mimarlik Fakultesi,Sehir Ve Bolge Planlama Bolumu,Profesor Ebru Cubukcu
Dokuz Eylul Universitesi,Izmir Devlet Konservatuvari,Muzik Bolumu,Profesor Ebru Guner Canbey
Dokuz Eylul Universitesi,Isletme Fakultesi,Turizm Isletmeciligi Bolumu,Profesor Ebru Gunlu Kucukaltan
Dokuz Eylul Universitesi,Tip Fakultesi,Dahili Tip Bilimleri Bolumu,Profesor Ebru Ozpelit
Dokuz Eylul Universitesi,Tip Fakultesi,Dahili Tip Bilimleri Bolumu,Profesor Ebru Sahin
Dokuz Eylul Universitesi,Tip Fakultesi,Dahili Tip Bilimleri Bolumu,Profesor Ece Bober
Dokuz Eylul Universitesi,Torbali Meslek Yuksekokulu,Madencilik Ve Maden Cikarma Bolumu,Profesor Ece Kilinc Aksay
Dokuz Eylul Universitesi,Izmir Devlet Konservatuvari,Muzik Bolumu,Profesor Ece Sozer
Dokuz Eylul Universitesi,Tip Fakultesi,Dahili Tip Bilimleri Bolumu,Profesor Eda Karadag Oncel
Dokuz Eylul Universitesi,Fen Fakultesi,Bilgisayar Bilimleri Bolumu,Profesor Efendi Nasiboglu
Dokuz Eylul Universitesi,Muhendislik Fakultesi,Insaat Muhendisligi Bolumu,Profesor Egemen Teomete
Dokuz Eylul Universitesi,Tip Fakultesi,Dahili Tip Bilimleri Bolumu,Profesor Elcin Bora
Dokuz Eylul Universitesi,Tip Fakultesi,Dahili Tip Bilimleri Bolumu,Profesor Elif Akalin
Dokuz Eylul Universitesi,Fen Fakultesi,Kimya Bolumu,Profesor Elif Isgin
Dokuz Eylul Universitesi,Fen Fakultesi,Kimya Bolumu,Profesor Elif Subasi
Dokuz Eylul Universitesi,Buca Egitim Fakultesi,Matematik Ve Fen Bilimleri Egitimi Bolumu,Profesor Elif Turnuklu
Dokuz Eylul Universitesi,Isletme Fakultesi,Iktisat Bolumu,Profesor Elif Yaprak Gulcan
Dokuz Eylul Universitesi,Tip Fakultesi,Dahili Tip Bilimleri Bolumu,Profesor Emel Ada
Dokuz Eylul Universitesi,Tip Fakultesi,Temel Tip Bilimleri Bolumu,Profesor Emel Altekin
Dokuz Eylul Universitesi,Onkoloji Enstitusu,Prevantif Onkoloji Anabilim Dali,Profesor Emel Calikoglu
Dokuz Eylul Universitesi,Tip Fakultesi,Dahili Tip Bilimleri Bolumu,Profesor Emel Fetil
